,averagerating,numvotes,title,genres,Sport,Fantasy,Mystery,War,Biography,Drama,Comedy,History,Crime,Horror,Family,Adventure,Romance,Documentary,Sci-Fi,Action,Thriller,Music,Animation,year,dom_gross,for_gross,world_gross
832,6.7,399703,Divergent,"Action,Adventure,Mystery",False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,2014,150900000.0,137900000.0,288800000.0
833,6.7,23105,The Lady in the Van,"Biography,Comedy,Drama",False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,2015,10000000.0,31400000.0,41400000.0
834,7.2,24955,The Wife,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2018,9600000.0,8600000.0,18200000.0
835,6.1,4158,Monster Hunt,"Action,Adventure,Comedy",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,2016,32800.0,385300000.0,385332800.0
836,6.4,669,Fidelio: Alice's Odyssey,"Drama,Romance",False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2015,3600.0,,
837,6.8,6444,Shamitabh,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2015,325000.0,,
838,6.6,25072,Dumbo,"Adventure,Family,Fantasy",False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,2019,113883318.0,231121104.0,345004422.0
839,6.4,41031,The Space Between Us,"Adventure,Drama,Romance",False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,2017,7900000.0,6900000.0,14800000.0
840,7.2,12312,Dheepan,"Crime,Drama",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2016,262000.0,,
841,6.8,204,War,Drama,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2007,22486409.0,18200000.0,40686409.0
